Site_ID,Parent_ID,Code,Display_No,CISARK_No,Name,Function,Importance,Building_Type_Label,Composition,Condition,Stand_in,Dimension,Inscription,Stone_object,Description,Detail_web,UTM_E,UTM_N,Notes
M046,,M046,M.46,7557,A Rav Peay (1st),,B3,Mound / Structural Remains,Single mound and pond at east side,Mound with few brick,Vacancy,"H: 1.5, NS: 8, EW: 11 (m)",None,None,Unexcavated mound with small amount of brick. Land owner said bricks were confirmed when they dug the ground for planting,details/M046.html,503451,1423684,
M047,,M047,M.47,7553,A Rav Peay (2nd),,B3,Mound / Structural Remains,Single mound or complex with M048 in north-south alignment,Mound with brick and looted hole,Bush,"H: 1.5, NS: 11, EW: 13 (m)",None,None,"Mound covered by scattering brick. At the center of mound, there is a looted hole, 3m (EW) x 3.4m (NS), 1.7m in depth.",details/M047.html,503375,1423429,
M048,,M048,M.48,7552,A Rav Peay (3rd),,B3,Mound / Structural Remains,Single mound or complex with M047 in north-south alignment,Mound with brick and looted hole,Forest,"H: 1.0, NS: 12, EW: 13 (m)",None,None,"Mound covered by scattering brick and pebbles. At the center of mound there is a looted hole, 1.2m (EW) x 1.6m (NS), 2.3m in depth.",details/M048.html,503375,1423414,
M049,,M049,M.49,7550,Soil mining,,B2,Ruined Independent Structure,"Unknown, but some brick pavement was detected by excavation survey",Mound with brick and looted hole,Vacancy,"Depth: 3, NS: 52, EW: 25 (m)",None,None,"This area was excavated in 2001 to collect soil for the construction of a new road in Sambor village. During this soil collection, many ceramics, bricks, and laterite fragments were found. SCP conducted an excavation survey in 2007 within the depression created by the soil collection. The excavation revealed deposits containing various artifacts and materials extending to a depth of more than 2 m. In some areas, remains that may have been a brick floor were also identified.",details/M049.html,503590,1423251,
M050,,M050,M.50,7546,Mak Pi,,B1,Independent Shrine,Single shrine,Big mound with many stone elements,Forest,"Depth: 3.8, NS: 69, EW: 67 (m)",None,None,"The mound is located on the west bank of O Krou Ke. There are many brick, laterite and sandstone objects on and around a mound. At the center of the mound, one big pedestal was found under the surface soil (similar type as MUNDAPA pedestal at S2 shrine). Villagers said that many stone object in this place were transported from the other place and it is impossible to identify the provenance. Except for this mound, laterite pavement structure is also confirmed near the river bank. In 2014, local market and reception center were constructed at the south side of the Mak Pi mound.",details/M050.html,503761,1423140,
M051,,M051,M.51,1736,Srei Krup Leak,,A1,Temple Complex,"7 structures are concentrated. Probably two different complexes and one shrine are closely located (L1-L3, L4 and L5-L7).",,,,,,,details/M051.html,503842,1424951,
L1,M051,L1,L1,,,Library of the group with L1-L3 (?),A4,Other Structure within Complex,,Remains with the lower half of the wall,,,None,None,"This small brick structure is heavily damaged. Although it is seems to be Library structure, direction of door opening is east.",details/L1.html,503821,1424971,
L2,M051,L2,L2,,,Gate of the group with L1-L3 (?),A4,Other Structure within Complex,,Remains with the lower half of the wall,,,None,None,"Although this structure is located in front of L3 structure and seems to be gate structure, it is uncertain the function due to very poor preserved condition.",details/L2.html,503818,1424964,
L3,M051,L3,L3,,,Main shrine of the group with L1-L3 (?),A2,Shrine within Complex,,Remains with the upper half of the wall and platform,,,None,None,"This structure is located nearby L1 and L2, and largest dimension. This rectangular structure may open to west direction.",details/L3.html,503834,1424966,
L4,M051,L4,L4,,,Single shrine (?),A2,Shrine within Complex,,Remains with the upper half of the roof part,,,None,None,"This small shrine is located between the L1–L3 group and the L5–L7 group. It has a square plan with projections on each side and faces east. Many small holes are carved into the brick surface, probably for attaching decorative plaster. A deep looted hole opens inside the shrine. In the early 2020s, the National Authority for Sambor Prei Kuk conducted excavations around the building. Restoration works were also carried out, including the consolidation of the brick masonry and the reconstruction and installation of the pedestal inside the shrine.",details/L4.html,503826,1424946,
L5,M051,L5,L5,,,Main shrine of the group with L5-L7 (?),A2,Shrine within Complex,,Remains with the upper half of the roof part,,,K151,None,"This shrine consists of a main chamber and an antechamber. The main chamber represents an early style of the pre-Angkorian period. The roof is of a low-story type and is decorated with kudus. The oldest inscription date in this group of monuments is recorded on this door jamb; however, the door jamb is a reused element. The main chamber was probably constructed in the pre-Angkorian period, while the attached chamber was added in a later period. In the early 2020s, the National Authority for Sambor Prei Kuk conducted clearance investigations to remove accumulated deposits around the L5–L7 group, and restoration works were also carried out. These investigations also revealed the existence of an enclosure wall surrounding the entire group.",details/L5.html,503836,1424922,
L6,M051,L6,L6,,,Library of the group with L5-L7 (?),A4,Other Structure within Complex,,Remain with the lower half of the wall and platform,,,None,None,"This structure is estimated to be library, because it faces to the west and is located at the southeast of main shrine L5.",details/L6.html,503847,1424918,
L7,M051,L7,L7,,,Gate of the group with L5-L7 (?),A4,Other Structure within Complex,,Remain with the upper half of the wall,,,None,595,"This structure is positioned in front of the main shrine L5 and opened two directions, east and west. One curious lintel was discovered near this shrine in 2005.",details/L7.html,503851,1424927,
M052,,M052,M.52,203,Robang Romeas,,A1,Temple Complex,8 structures are located in an enclosure wall,,,,,,,details/M052.html,503626,1425030,
K1,M052,K1,K1,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the wall,,,None,596,Rectangular plan and faces to the west. The shrine is covered by accumulated soil up to the top of wall level.,details/K1.html,503673,1425009,
K2,M052,K2,K2,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the wall,,,None,"319-321, 337-339, 597, 598, 603, 604",Square plan and faces to the east. Projected part to east side is severely damaged. Engraving work of the brick surface is not completed.,details/K2.html,503655,1425019,
K3,M052,K3,K3,,,Unknown,A2,Shrine within Complex,,Remains with the interior wall surface and door frame,,,None,605,Entire part of wall structure was collapsed and only interior form is observed today. Antechamber is attached at the east side.,details/K3.html,503657,1425045,
K4,M052,K4,K4,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the roof part,,,K.153,"360, 602",High accumulated soil covers until the middle of wall level. An antechamber was attached in a later period. Colonnette were stolen in 2005.,details/K4.html,503640,1425010,
K5,M052,K5,K5,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the wall,,,None,"368, 600, 606",This shrine has no antechamber.,details/K5.html,503640,1425026,
K6,M052,K6,K6,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the roof part,,,"K.150, K.152",None,"An antechamber was attached in a later period. The lintel is in the pre-Angkorian style, specifically the Prei Khmeng style, but both sides were cut, indicating that it was clearly a reused element. The main chamber has a square plan without projections on any side. 
In 2015, SCP conducted excavations and identified repair remains around the K6 shrine. Similar repair remains were also confirmed at the K7 shrine. In addition, from 2024 to 2025, the National Authority for Sambor Prei Kuk carried out clearance investigations around the building and implemented repair measures.",details/K6.html,503638,1425038,
K7,M052,K7,K7,,,Unknown,A2,Shrine within Complex,,Remains with the upper half of the roof part,,,None,"317, 318","An antechamber was attached in a later period. The plan is similar to that of K4. From 2024 to 2025, repair measures were carried out by the National Authority for Sambor Prei Kuk.",details/K7.html,503637,1425050,
K8,M052,K8,K8,,,Unknown (but positioned as a main building),A2,Shrine within Complex,,Remains with the upper half of the wall,,,None,None,This is a single laterite structure in this complex. Wooden roof structure might be originally constructed on the square pillars and wall. Roof tile has never confirmed in the area..,details/K8.html,503601,1425031,
M053,,M053,M.53,7565,No name,,B1,Independent Shrine,Single shrine,Remain with the lower half of the wall,Bush,None,None,"356, 614-616","This building is close to the M.052 group southern side. The tower is located probably just behind the L5 shrine in Srei Krup Leak group and in the same direction with this group. It means that this tower, L5 and L6 are aligned on one line and there is probably some relation between them. Composition of the shrine is similar to K4, K6 and K7 shrine in M.052 group. However, it is not a symmetric plan; main and ante-chamber have a window only at the south wall.",details/M053.html,503626,1424886,
M054,,M054,M.54,,No name,,B2,Ruined Independent Structure,Single shrine,Remain with the low end of the wall and platform with looted hole,Forest,"H: 3.8, NS: 15, EW: 12 (m)",None,None,"Most of the upper structure is missing, and only the lower 50cm of the brick structure is conserved. Surrounding was covered by accumulated brick and soil. This structure is located at the west bank of the O Krou Ke river. River seems to be dammed by the artificial dike near this structure.",details/M054.html,504002,1425912,
M055,,M055,M.55,,Bous Leak,,B2,Ruined Independent Structure,Single shrine with moat (?),Mound with looted hole,Agricultural field,"H: 1.5, NS: 20, EW: 25 (m)",None,617-623,This mound is located on slightly elevated ground and probably surrounded by moat. Mound is covered by many scattered bricks and pebbles. Partially original exterior of the platform is confirmed.,details/M055.html,502893,1426600,
M056,,M056,M.56,7566,Pon Neak Sei,,B3,Mound / Structural Remains,Single shrine with moat (?),Mound with looted hole,Agricultural field,"H: 1.6, NS: 14, EW: 12 (m)",None,None,"Many laterite and brick elements were scattered around the trace of this building. The building might be surrounded by the moat, but the north side is not clearly identifiable. Brick foundation structure around 1m height is confirmed in the wall of the looted hole.",details/M056.html,502709,1425263,
M057,,M057,M.57,7564,Peang Preah,,A1,Temple Complex,3 shrines located closely,,,,Recently found one inscription,"64, 624-643","3 shrines located closely and probably constitute one complex. These shrines are alignment as the triangular position; NW (M057-1), SW (M057-2) and NE (M057-3). There seems to be remaining an enclosure wall (NS 24m * EW 27m).",details/M057.html,502833,1424652,
M057-1,M057,M057-1,M.57-1,,,Unknown,A3,Ruined Shrine within Complex,,Remains with the upper half of the wall,,"H: 1.5, NS: 11, EW: 13 (m)",,,Sandstone elements around the door frame and moonstone are scattered on the mound.,details/M057-1.html,502815,1424665,
M057-2,M057,M057-2,M.57-2,,,Unknown,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 1.6, NS: 10, EW: 9 (m)",,,A large tree stands on the mound. Some parts of the brick structure can be observed. Many sandstone elements are scattered on the mound.,details/M057-2.html,502815,1424655,
M057-3,M057,M057-3,M.57-3,,,Unknown,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 1.2, NS: 9, EW: 8 (m)",,,Lower part of the interior brick wall is partially remaining. Many sandstone elements are scattered. Two drainage stone elements are included in these scattering elements. Laterite pavement is partially confirmed.,details/M057-3.html,502815,1424645,
M058,,M058,M.58,7559,No name,,B3,Mound / Structural Remains,Remnant of small brick structure,Scattering bricks with looted hole,Vacancy,None,None,None,Upper structure is completely lost and only the scattering bricks and looted hole remains. There are many small ponds at the northern side of the remnant.,details/M058.html,502721,1424102,
M059,,M059,M.59,3997,Kuni Sai,,B2,Ruined Independent Structure,Single shrine,Remain with the lower half of the wall and platform with looted hole,Agricultural field,"H: 2.8, NS: 14, EW: 13 (m)",None,644,"This is a laterite structure. Interior wall is relatively well conserved, and sandstone tenons and steps remain. Brick foundation structure is observed in the side wall of looted hole in the chamber. One water line of undetermined usage is running in an east-west direction at the southern side of this structure.",details/M059.html,502559,1424044,
M060,,M060,M.60,7551,Mor Aot,,B3,Mound / Structural Remains,Single shrine,Mound with looted hole,"Forest, within the moat of ancient city","H: 2.0, NS: 14, EW: 17 (m)",None,None,"This mound is covered by collapsed brick. Vertical pit that was probably caused by the looting is confirmed in the chamber. Dimension of the hole is in 3.4m (N-S), 4m (E-W), and 2.5m in depth. There are two ponds at the northwest side and north side of the moat of Isanapura city close to the northern side.",details/M060.html,502464,1423382,
M061,,M061,M.61,7549,"Prasat Tamon, Prasat Rosei Roliek",,A1,Temple Complex,Main shrine and sub shrine at the northwest direction,,,,,,,details/M061.html,502890,1423260,
T1,M061,T1,T1,,,Main shrine,A2,Shrine within Complex,,Remains with the top of the roof part,,,None,"645, 646",Partition wall between main chamber and antechamber is relatively larger than the other shrines. Interior is heavy damaged by the previous looting. Large vertical cracks are opened in the wall and upper structure is in a highly hazardous condition. Decorative elements around the false door opening are engraved from brick body. Only the upper door flame is made of sandstone at the each false door. Flying Palace and lintel decoration in Sambor Prei Kuk style are very well conserved on the exterior. Motives of Flying Palace have never been destroyed the same as M.041 (W).,details/T1.html,502882,1423260,
T2,M061,T2,T2,,,Sub shrine,A3,Ruined Shrine within Complex,,Mound,,,None,None,Upper structure is completely destroyed.,details/T2.html,502867,1423272,
M062,,M062,M.62,4614,No Name,,B2,Ruined Independent Structure,Single shrine,Mound with partially remained wall and looted hole,"Bush, within the moat of ancient city","H: 1.8, NS: 14, EW: 11 (m)",None,647,This mound is covered by collapsed brick. Partially remaining interior wall and brick structure is confirmed in the looted hole 3m in depth. This shrine opens to the east and sandstone drainage element “Somasutra” remains on the north wall.,details/M062.html,502844,1423155,
M063,,M063,M.63,4614,No Name,,B2,Ruined Independent Structure,Single shrine,Mound with partially remained wall and looted hole,"Bush, within the moat of ancient city","H: 1.0, NS: 14, EW: 16 (m)",None,648,"This mound is covered by collapsed brick and pebbles that might have originated from the looted hole. Under the floor at 2.4m in depth, the looted hole appeared to be the original vertical hole.",details/M063.html,502915,1423121,
M064,,M064,M.64,4615(?),No Name,,B3,Mound / Structural Remains,Single shrine,Scattering bricks are concentrated,"Bush, within the moat of ancient city",,None,None,"Half part of this mound was destroyed during the construction work of extending the road in 2002. Present day, only some scattered bricks are confirmed.",details/M064.html,502803,1423085,
M065,,M065,M.65,7541,No Name,,B2,Ruined Independent Structure,Single shrine but very close from M.066 group,Mound with partially remaining wall,"Bush, within the moat of ancient city","H: 1.5, NS: 10, EW: 12 (m)",None,None,"This mound is covered by collapsed brick. Interior wall can be observed partially, and an octagonal plan can be confirmed. Looted hole under the floor in the main chamber is 1.75 in depth. One pond is located at the east side of the shrine.",details/M065.html,502685,1423038,
M066,,M066,M.66,7540,No name,,A1,Temple Complex,Three shrines in north south alignment and enclosed by earthen rampart. Pond of laterite embankment is located at north east direction.,,,,,,Brick gate structure with steps and moonstone was excavated under the earthen rampart at the east side of central shrine by the excavation survey in 2014.,details/M066.html,502711,1422996,
M066-1,M066,M066-1,M.66-1,,,South sub shrine,A2,Shrine within Complex,,Mound with interior wall,,"H: 1.5, NS: 12, EW: 12 (m)",None,None,Brick wall is confirmed inside the mound about 2.5m in depth. Although it is uncertain if the wall is the wall above the floor or under the floor. It is highly probable that this wall is the wall of the basement.,details/M066-1.html,502700,1422992,
M066-2,M066,M066-2,M.66-2,,,Central shrine,A2,Shrine within Complex,,Mound with interior wall,,"H: 1.2, NS: 9, EW: 8 (m)",None,None,"Brick wall is confirmed inside the mound about 2.6m in depth and 1.8m (N-S) x 1.5m (E-W). Identical to the southern shrine, this interior wall is highly probable to be that of the basement wall. The wall is randomly piled brick and laterite and beneath this layer directly continued to the foundation by compacted soil and laterite.",details/M066-2.html,502697,1423002,
M066-3,M066,M066-3,M.66-3,,,North sub shrine,A2,Shrine within Complex,,Mound,,"H: 1.0, NS: 9, EW: 7 (m)",None,None,This building is severely damaged and confirmed only a small mound with scattering bricks.,details/M066-3.html,502697,1423010,
M067,,M067,M.67,4597,No Name,,B3,Mound / Structural Remains,This structure probably belong with M.066 group,Mound with looted hole,"Bush, within the moat of ancient city","H: 1.4, NS: 10, EW: 8 (m)",None,None,This mound is severely damaged. Looted hole is 1.7m in depth.,details/M067.html,502692,1422979,
M068,,M068,M.68,7537,No Name,,B3,Mound / Structural Remains,Single shrine,Mound with looted hole,"Bush, within the moat of ancient city","H: 1.0, NS: 10, EW: 9 (m)",None,649,This mound is completely collapsed. Looted hole opens the center of the mound. Broken drainage sandstone “Somasutra” are scattered on the mound.,details/M068.html,502683,1422906,
M069,,M069,M.69,7534,No Name,,B3,Mound / Structural Remains,Single shrine with causeway,Mound with partial wall,"Bush, within the moat of ancient city","H: 1.5, NS: 21, EW: 16 (m)",None,650,"This is a laterite shrine. Looted hole appears at the central pit with 3.2m depth, 1.5m (N-S) x 1.3m (E-W). Central pit also constructed of the laterite elements. One pond is located at the eastern side. About 300m earthen rampant extends from this shrine to the east side. It seems like a causeway. Newly constructed road and extension of the rice field are destroying the earthen structure.",details/M069.html,502911,1422849,
M070,,M070,M.70,7531,Donmong,,B3,Mound / Structural Remains,Single shrine,Mound with partial wall,"Bush, within the moat of ancient city","H: 1.4, NS: 12, EW: 15 (m)",None,651,"This mound is covered by the collapsed bricks. The wall of central pit under the floor appears looted at 1.4m depth, 2.85m (N-S) and 2.76m (E-W). One part of the drainage stone “Somasutra” remains at the north wall, and some other parts of this element are scattered on the mound.",details/M070.html,503165,1422787,
M071,,M071,M.71,7529,Donmong,,A1,Temple Complex,Two shrines are aligned in north-south direction. Small hole is opened between them.,,,,,"652, 653",,details/M071.html,503189,1422735,
M071-1,M071,M071-1,M.71-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 2.3, NS: 17, EW: 16 (m)",None,,Looted hole is open at the center of the mound approximately 1.3m in depth.,details/M071-1.html,503199,1422734,
M071-2,M071,M071-2,M.71-2,,,South shrine,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 2.3, NS: 17, EW: 16 (m)",None,,This mound is covered by collapsed bricks. Looted hole is open at the center of the mound approximately 2.7m in depth and brick walls are confirmed in the hole.,details/M071-2.html,503201,1422719,
M072,,M072,M.72,7526,Donmong,,A1,Temple Complex,Two shrines are aligned in north-south direction. One pond embanked with laterite is located at the northeast side.,,,,,None,,details/M072.html,503204,1422634,
M072-1,M072,M072-1,M.72-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 1.5, NS: 11, EW: 10 (m)",None,,"The mound is covered by collapsed brick and soil. Looted hole is open at the center of the mound approximately 1.3m in depth and 1.8m (N-S), 2.3m (E-W).",details/M072-1.html,503199,1422641,
M072-2,M072,M072-2,M.72-2,,,South shrine,A3,Ruined Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 1.7, NS: 10, EW: 10 (m)",None,,"The mound is covered by collapsed brick and soil. A vertical pit is observed at the center of the mound approximately 2.7m in depth and 1.2m (N-S), 1.4m (E-W) in the looted hole.",details/M072-2.html,503204,1422626,
M073,,M073,M.73,7525,Donmong,,B3,Mound / Structural Remains,Single shrine,Scattering brick and laterite with looted hole,"Bush, within the moat of ancient city","H: 0.8, NS: 8, EW: 7 (m)",None,None,Small amount of scattered brick and laterite are concentrated around the looted hole.,details/M073.html,503146,1422622,
M074,,M074,M.74,7524,No name,,B3,Mound / Structural Remains,,Many bricks are scattered.,"Bush, within the moat of ancient city",,None,None,"This site is located at the eastern side of the M.075 group. Probably this is a form of causeway for M.075 group. Many bricks are scattered, and the existence and shape of the structure is unclear.",details/M074.html,503207,1422595,
M075,,M075,M.75,7523,Donmong,,A1,Temple Complex,"Four shrines are located in the enclosure wall. Three of them are aligned in east-west direction. Moreover, one structure is on the south-east side from central shrine.",,,,,340,"Four shrines are located within the enclosure wall. Three of them are aligned in an east–west direction, and another structure is located to the southeast of the central shrine. SCP conducted excavation work to remove accumulated deposits at the eastern gate of this temple. Excavations were also carried out at the northeastern corner of the enclosure wall. The investigations suggested that the eastern gate had undergone several phases of modification.",details/M075.html,503232,1422548,
D1,M075,D1,D1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with partial interior wall and door frame,,,None,,The mound is covered by collapsed brick and soil. Stone door frame remains at the original position in the mound.,details/D1.html,503219,1422560,
D2,M075,D2,D2,,,Central shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,None,,Plan is rectangular and projected only on the east side. Trace of the drainage stone “Somasutra” remains on the north wall.,details/D2.html,503222,1422547,
D3,M075,D3,D3,,,South shrine,A3,Ruined Shrine within Complex,,Mound,,,None,,This structure is severely damaged.,details/D3.html,503222,1422533,
D4,M075,D4,D4,,,South east shrine,A3,Ruined Shrine within Complex,,Mound,,,None,,This structure is severely damaged.,details/D4.html,503243,1422536,
M076,,M076,M.76,7521,No name,,B3,Mound / Structural Remains,Single shrine,Mound with partial wall,"Bush, within the moat of ancient city","H: 1.5, NS: 9, EW: 9 (m)",None,None,This mound is completely collapsed and covered by accumulated brick. Brick interior wall above floor and wall of vertical pit are confirmed in the looted hole.,details/M076.html,503131,1422508,
M077,,M077,M.77,7522,Russey,,B3,Mound / Structural Remains,Single shrine,Mound with partial wall,"Villager’s compound, within the moat of ancient city","H: 2.0, NS: 17, EW: 14 (m)",None,654,"The mound is covered by accumulated laterite and soil. Laterite wall is partially confirmed. One monolith sandstone pedestal was found. This shrine is nearly behind (west side) the M. 075 group and intersecting point of the two earthen ramparts that are across the O Krou Ke river from Prasat Sambor and Prasat Yeai Poeun. Therefore, this shrine might be an important place for connecting the temple area and city area.",details/M077.html,503063,1422530,
M078-79,,M078-79,M.78/79,7519/7520,Proeng Touch,,A1,Temple Complex,"Three brick structures are visible above ground in the northern part of the enclosure. In the central area within the enclosure, subsurface brick remains have been identified through archaeological excavations. Gate-related remains have also been confirmed at the center of the northern side and on the southern part of the western side of the enclosure.",,,,,None,"This site is enclosed by a rectangular perimeter wall measuring approximately 130 m east–west and 160 m north–south. Three brick structures are visible above ground, and several additional brick remains have been identified in the central area of the site through archaeological excavations. Brick gates have been confirmed at the center of the northern side of the enclosure wall and at a position slightly south of the center of the western side. A large pond with laterite revetments is located in the northeastern corner inside the enclosure. Excavations and GPR surveys were conducted in 2012 and 2026. Trench excavations at the centers of the eastern and southern sides of the enclosure confirmed that no gates existed at these locations.",details/M078-79.html,502911,1422418,
M078-79-1,M078-79,M078-79-1,North shrine,,,North shrine,A3,Ruined Shrine within Complex,,Mound with partial brick interior wall and looted hole,,"H: 1.0, NS: 12, EW: 15(m)",None,,"This mound is covered by collapsed brick and laterite fragments. Looted hole is 2m in depth, and some part of the brick structure is confirmed.",details/M078-79-1.html,502866,1422477,
M078-79-2,M078-79,M078-79-2,South shrine,,,South shrine,A2,Shrine within Complex,,Excavated the partial brick wall and front steps,,"H: 1.0, NS: 17, EW: 12 (m)",None,,"Excavations confirmed that the building was a square brick shrine. Parts of the interior walls and the remains extending from the eastern frontal staircase to the doorway are preserved. The interior had been looted. A cylindrical sandstone colonnette was discovered beside the staircase in front of the building, suggesting that this structure dates to the pre-Angkorian period.",details/M078-79-2.html,502868,1422464,
M078-79-3,M078-79,M078-79-3,Northeast shrine,,,Northeast shrine,A2,Shrine within Complex,,Mound with partial brick wall and looted hole,,"H: 1.0, NS: 12, EW: 13 (m)",,None,"A mound located in the northeastern corner of the enclosure, to the west of the pond. The center of the mound is slightly depressed, suggesting that it may have been looted in the past.",details/M078-79-3.html,502910,1422499,
M078-79-4,M078-79,M078-79-4,North gate,,,North gate,A4,Other Structure within Complex,,Brick gate structure was excavated,,,,,"This is a brick gate structure opening to the north and south. Immediately to the north of this gate, it connects with the main east–west avenue running through the center of the ancient city. Excavations have confirmed that there were no gates at the centers of the eastern and southern sides of the enclosure wall. The center of the western side lies directly beneath the road currently in use and has not yet been investigated. However, a brick gate structure allowing passage was identified at a point slightly south of the center of the western side.",details/M078-79-4.html,502892,1422515,
M078-79-5,M078-79,M078-79-5,Burided structures,,,Central buried structures,A3,Ruined Shrine within Complex,,Excavated brick structures,,,None,,"Ground Penetration Radar surveys suggested the presence of several subsurface remains with rectangular plans in the central area within the enclosure. Through two excavation campaigns conducted in 2012 and 2026, a large brick structure was identified at a depth of nearly 1 m at the exact center of the enclosure. Intermittent brick remains were also confirmed to the north of this structure.
The bricks appear to have been reused, and the construction is relatively crude compared with the more carefully built brick shrines visible above ground within the same enclosure. This suggests that the structure may belong to a later period. Future archaeological excavations in the central area and other parts of the enclosure are desirable.",details/M078-79-5.html,502908,1422435,
M080,,M080,M.80,7518,No name,,B3,Mound / Structural Remains,Single shrine,Mound with small amount of brick fragment and many laterite blocks.,Bush (located on the land of Mr. Hing and Phat),"H: 2.0, NS: 10, EW: 10 (m)",None,None,"This is a laterite structure. One of the small pieces of pre-Angkor style pedestal is scattered on this mound. Direction of the door opening is east, and both sides of the entrance wall remain at 0.75m in height. There is one hole at the center sized at 2.45m (N-S) x 2.9m (E-W) and 3m depth. This shrine is located in the south of M.075 (biggest Donmong group).",details/M080.html,503267,1422400,
M081,,M081,M.81,7509,No name,,B3,Mound / Structural Remains,Single shrine,Mound with small amount of brick and laterite fragments.,Bush (located on the land of Mr. Lee and Mrs. Viech),"H: 1.5, NS: 12, EW: 15 (m)",None,None,Heavily damaged mound. Some parts of the brick structure are confirmed in the looted central hole.,details/M081.html,503354,1422078,
M082,,M082,M.82,7510,Prasat Proeng,,A1,Temple Complex,Two brick remnants are aligned in north-south direction. (Located on the land of Mr. Pach and Mrs. Yar.),,,,,None,,details/M082.html,503282,1422081,
M082-1,M082,M082-1,M.82-1,,,South shrine,A3,Ruined Shrine within Complex,,Mound with brick and laterite fragments,,"H: 0.7, NS: 19, EW: 11 (m)",None,,Heavily damaged structure. Half of the structure was destroyed by the construction of a new road.,details/M082-1.html,503275,1422067,
M082-2,M082,M082-2,M.82-2,,,North shrine,A3,Ruined Shrine within Complex,,Mound with scattered brick and laterite fragments.,,"H: 0.7, NS: 19, EW: 11 (m)",None,,Heavily damaged structure. Half of the structure was destroyed by the newly constructed road.,details/M082-2.html,503273,1422089,
M083,,M083,M.83,7511,No name,,B3,Mound / Structural Remains,Single shrine,Mound with small amount of brick and laterite fragments.,Bush,"H: 0.8, NS: 15, EW: 12 (m)",None,655,"Mound is covered by brick and accumulated soil. Looted hole remains at the center sized at 2.5 (NS) x 2.6 (EW) and 0.57m in depth. Brick wall is partially confirmed in the hole. Left half of the stone lintel that is obviously Sambor Prei Kuk style was found at the east side of mound. In addition, another sandstone element was also found near the root of a tree.",details/M083.html,503035,1422090,
M084,,M084,M.84,7508,Roung,,B3,Mound / Structural Remains,Single shrine,Mound with brick and laterite fragments.,Bush,"H: 1.4, NS: 9, EW: 10 (m)",None,656,Mound is covered by brick and laterite. Looted hole is opened at the center 1.7m in depth. One sandstone door frame element is scattered near the mound. Villager plant vegetables around this structure.,details/M084.html,502973,1422017,
M085,,M085,M.85,7507,Roung,,B3,Mound / Structural Remains,Single shrine but very close with M.084,Mound with brick and laterite fragments.,Bush,"H: 1.4, NS: 11, EW: 10 (m)",None,None,Mound is covered by brick and laterite. Looted hole is opened at the center 2.1m in depth. Brick wall is partially confirmed in the hole.,details/M085.html,502973,1421996,
M086,,M086,M.86,7506,No name,,B3,Mound / Structural Remains,Single shrine,"Low mound with small amount of brick, laterite fragments and pebbles.",Bush,"H: 0.7, NS: 16, EW: 16 (m)",None,657-661,"The mound might not have been looted. We could find some sandstone elements; one colonnette that is a cylindrical column (diameter 22cm) with single tie band and Pre-Angkor style, a part of moonstone, and some unknown function of other elements. North side of the shrine also exist another brick accumulation, but it’s not conclusive that this is the remnant of the brick structure or not.",details/M086.html,503095,1421854,
M087,,M087,M.87,7504,No name,,B3,Mound / Structural Remains,Single shrine,Completely collapse and some bricks are collected in the hole. Half of the mound was destroyed by the recent planting intervention.,Agricultural field,"H: 0.5, NS: 11, EW: 12 (m)",None,662,Some brick and laterite fragments are concentrated in the small hole at the center of low mound. One moonstone was found in this hole.,details/M087.html,503110,1421915,
M088,,M088,M.88,7502,Gnep Sheet,,A1,Temple Complex,"Three brick shrines are aligned in north-south direction. (Located in the land of Mr. Gnep and Mrs. Sheet, this mound name is derived from simply land owner name)",,,,None,,,details/M088.html,503228,1421737,
M088-1,M088,M088-1,M.88-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with brick and laterite fragments,,"H: 1.6, NS: 17, EW: 23 (m)",,663-665,"Exterior is completely collapsed, but interior wall partially remains. Central pit also confirmed by the result of looted hole which is 1.3m in depth.",details/M088-1.html,503215,1421742,
M088-2,M088,M088-2,M.88-2,,,Central shrine,A3,Ruined Shrine within Complex,,Some part of the lower wall remain. Best conserved condition of these three shrines.,,"H: 1.6, NS: 10, EW: 23 (m)",,None,"Interior wall is confirmed, size of interior is 4.5m (N-S) x 3.3m (E-W). One pedestal was found in the room and drainage stone “Somasutra” still remains in the northern wall. One moonstone is scattered at the east side of the mound. Central pit was looted and confirmed the original structure; beneath the floor level is mixed usage of brick structure at the upper part and laterite structure at the lower part.",details/M088-2.html,503217,1421732,
